bayesian	('bayesian',)
analysis	('analysis',)
analysis~bayesian	('bayesian~analysis',)
statistical	('statistical',)
analysis~statistical	('analysis~statistical',)
analysis~bayesian~statistical	('bayesian~analysis~statistical',)
procedure	('procedure',)
procedure~statistical	('statistical~procedure',)
analysis~procedure~statistical	('analysis~statistical~procedure',)
analysis~bayesian~procedure~statistical	('bayesian~analysis~statistical~procedure',)
endeavors	('endeavors',)
endeavors~procedure	('procedure~endeavors',)
endeavors~procedure~statistical	('statistical~procedure~endeavors',)
analysis~endeavors~procedure~statistical	('analysis~statistical~procedure~endeavors',)
estimate	('estimate',)
endeavors~estimate	('endeavors~estimate',)
endeavors~estimate~procedure	('procedure~endeavors~estimate',)
endeavors~estimate~procedure~statistical	('statistical~procedure~endeavors~estimate',)
parameters	('parameters',)
estimate~parameters	('estimate~parameters',)
endeavors~estimate~parameters	('endeavors~estimate~parameters',)
endeavors~estimate~parameters~procedure	('procedure~endeavors~estimate~parameters',)
underlying	('underlying',)
parameters~underlying	('parameters~underlying',)
estimate~parameters~underlying	('estimate~parameters~underlying',)
endeavors~estimate~parameters~underlying	('endeavors~estimate~parameters~underlying',)
distribution	('distribution',)
distribution~underlying	('underlying~distribution',)
distribution~parameters~underlying	('parameters~underlying~distribution',)
distribution~estimate~parameters~underlying	('estimate~parameters~underlying~distribution',)
based	('based',)
based~distribution	('distribution~based',)
based~distribution~underlying	('underlying~distribution~based',)
based~distribution~parameters~underlying	('parameters~underlying~distribution~based',)
observed	('observed',)
based~observed	('based~observed',)
based~distribution~observed	('distribution~based~observed',)
based~distribution~observed~underlying	('underlying~distribution~based~observed',)
begin	('begin',)
begin~distribution	('distribution~begin',)
begin~distribution~observed	('observed~distribution~begin',)
based~begin~distribution~observed	('based~observed~distribution~begin',)
prior	('prior',)
begin~prior	('begin~prior',)
begin~distribution~prior	('distribution~begin~prior',)
begin~distribution~observed~prior	('observed~distribution~begin~prior',)
based~distribution~prior	('prior~distribution~based',)
based~begin~distribution~prior	('begin~prior~distribution~based',)
anything	('anything',)
including	('including',)
anything~including	('anything~including',)
anything~based~including	('based~anything~including',)
anything~based~distribution~including	('distribution~based~anything~including',)
assessment	('assessment',)
assessment~including	('including~assessment',)
anything~assessment~including	('anything~including~assessment',)
anything~assessment~based~including	('based~anything~including~assessment',)
relative	('relative',)
assessment~relative	('assessment~relative',)
assessment~including~relative	('including~assessment~relative',)
anything~assessment~including~relative	('anything~including~assessment~relative',)
likelihoods	('likelihoods',)
likelihoods~relative	('relative~likelihoods',)
assessment~likelihoods~relative	('assessment~relative~likelihoods',)
assessment~including~likelihoods~relative	('including~assessment~relative~likelihoods',)
likelihoods~parameters	('likelihoods~parameters',)
likelihoods~parameters~relative	('relative~likelihoods~parameters',)
assessment~likelihoods~parameters~relative	('assessment~relative~likelihoods~parameters',)
results	('results',)
parameters~results	('parameters~results',)
likelihoods~parameters~results	('likelihoods~parameters~results',)
likelihoods~parameters~relative~results	('relative~likelihoods~parameters~results',)
non-bayesian	('non-bayesian',)
non-bayesian~results	('results~non-bayesian',)
non-bayesian~parameters~results	('parameters~results~non-bayesian',)
likelihoods~non-bayesian~parameters~results	('likelihoods~parameters~results~non-bayesian',)
observations	('observations',)
practice	('practice',)
common	('common',)
common~practice	('common~practice',)
common~observations~practice	('observations~practice~common',)
common~non-bayesian~observations~practice	('non-bayesian~observations~practice~common',)
uniform	('uniform',)
common~uniform	('common~uniform',)
common~practice~uniform	('practice~common~uniform',)
common~observations~practice~uniform	('observations~practice~common~uniform',)
over	('over',)
distribution~over	('distribution~over',)
distribution~over~uniform	('uniform~distribution~over',)
common~distribution~over~uniform	('common~uniform~distribution~over',)
appropriate	('appropriate',)
appropriate~over	('over~appropriate',)
appropriate~distribution~over	('distribution~over~appropriate',)
appropriate~distribution~over~uniform	('uniform~distribution~over~appropriate',)
range	('range',)
appropriate~range	('appropriate~range',)
appropriate~over~range	('over~appropriate~range',)
appropriate~distribution~over~range	('distribution~over~appropriate~range',)
values	('values',)
range~values	('range~values',)
appropriate~range~values	('appropriate~range~values',)
appropriate~over~range~values	('over~appropriate~range~values',)
prior~values	('values~prior',)
prior~range~values	('range~values~prior',)
appropriate~prior~range~values	('appropriate~range~values~prior',)
distribution~prior	('distribution~prior',)
distribution~prior~values	('values~distribution~prior',)
collect	('collect',)
collect~distribution	('distribution~collect',)
collect~distribution~prior	('prior~distribution~collect',)
data	('data',)
collect~data	('collect~data',)
collect~data~distribution	('distribution~collect~data',)
collect~data~distribution~prior	('prior~distribution~collect~data',)
obtain	('obtain',)
data~obtain	('data~obtain',)
collect~data~obtain	('collect~data~obtain',)
collect~data~distribution~obtain	('distribution~collect~data~obtain',)
observed~obtain	('obtain~observed',)
data~observed~obtain	('data~obtain~observed',)
collect~data~observed~obtain	('collect~data~obtain~observed',)
calculate	('calculate',)
calculate~distribution	('distribution~calculate',)
calculate~distribution~observed	('observed~distribution~calculate',)
calculate~distribution~observed~obtain	('obtain~observed~distribution~calculate',)
likelihood	('likelihood',)
likelihood~observed	('likelihood~observed',)
calculate~likelihood~observed	('calculate~likelihood~observed',)
calculate~distribution~likelihood~observed	('distribution~calculate~likelihood~observed',)
distribution~observed	('distribution~observed',)
distribution~likelihood~observed	('likelihood~observed~distribution',)
function	('function',)
distribution~function	('distribution~function',)
distribution~function~observed	('observed~distribution~function',)
distribution~function~likelihood~observed	('likelihood~observed~distribution~function',)
parameter	('parameter',)
function~parameter	('function~parameter',)
distribution~function~parameter	('distribution~function~parameter',)
distribution~function~observed~parameter	('observed~distribution~function~parameter',)
multiply	('multiply',)
multiply~values	('values~multiply',)
multiply~parameter~values	('parameter~values~multiply',)
function~multiply~parameter~values	('function~parameter~values~multiply',)
likelihood~multiply	('multiply~likelihood',)
likelihood~multiply~values	('values~multiply~likelihood',)
likelihood~multiply~parameter~values	('parameter~values~multiply~likelihood',)
function~likelihood	('likelihood~function',)
function~likelihood~multiply	('multiply~likelihood~function',)
function~likelihood~multiply~values	('values~multiply~likelihood~function',)
function~prior	('function~prior',)
function~likelihood~prior	('likelihood~function~prior',)
function~likelihood~multiply~prior	('multiply~likelihood~function~prior',)
normalize	('normalize',)
distribution~normalize	('distribution~normalize',)
distribution~normalize~prior	('prior~distribution~normalize',)
distribution~function~normalize~prior	('function~prior~distribution~normalize',)
normalize~obtain	('normalize~obtain',)
distribution~normalize~obtain	('distribution~normalize~obtain',)
distribution~normalize~obtain~prior	('prior~distribution~normalize~obtain',)
unit	('unit',)
obtain~unit	('obtain~unit',)
normalize~obtain~unit	('normalize~obtain~unit',)
distribution~normalize~obtain~unit	('distribution~normalize~obtain~unit',)
probability	('probability',)
probability~unit	('unit~probability',)
obtain~probability~unit	('obtain~unit~probability',)
normalize~obtain~probability~unit	('normalize~obtain~unit~probability',)
over~probability	('over~probability',)
over~probability~unit	('unit~probability~over',)
obtain~over~probability~unit	('obtain~unit~probability~over',)
possible	('possible',)
over~possible	('over~possible',)
over~possible~probability	('probability~over~possible',)
over~possible~probability~unit	('unit~probability~over~possible',)
posterior	('posterior',)
posterior~values	('values~posterior',)
possible~posterior~values	('possible~values~posterior',)
over~possible~posterior~values	('over~possible~values~posterior',)
mode	('mode',)
distribution~mode	('distribution~mode',)
distribution~mode~posterior	('posterior~mode~distribution',)
distribution~parameter	('distribution~parameter',)
distribution~mode~parameter	('mode~distribution~parameter',)
bayesian~estimate	('estimate~bayesian',)
bayesian~estimate~parameter	('parameter~estimate~bayesian',)
bayesian~distribution~estimate~parameter	('distribution~parameter~estimate~bayesian',)
analog	('analog',)
analog~bayesian	('bayesian~analog',)
analog~bayesian~estimate	('estimate~bayesian~analog',)
analog~bayesian~estimate~parameter	('parameter~estimate~bayesian~analog',)
confidence	('confidence',)
analog~confidence	('analog~confidence',)
analog~bayesian~confidence	('bayesian~analog~confidence',)
analog~bayesian~confidence~estimate	('estimate~bayesian~analog~confidence',)
intervals	('intervals',)
using	('using',)
intervals~using	('intervals~using',)
confidence~intervals~using	('confidence~intervals~using',)
analog~confidence~intervals~using	('analog~confidence~intervals~using',)
standard	('standard',)
