analysis	{'statistic': 25, 'statistical': 22, 'series': 19, 'time': 19, 'time-series': 12, 'data': 8, 'process': 7, 'order': 6, 'relative': 5, 'class': 5, 'point': 5, 'test': 5, 'mean': 5, 'function': 4, 'absolute': 4, 'distribution': 3, 'error': 3, 'problem': 3, 'least': 3, 'variance': 3, 'observed': 2, 'parameter': 2, 'unit': 2, 'probability': 2, 'value': 2, 'variate': 2, 'pp': 2, 'moment': 2, 'multivariate': 2, 'hypothesis': 2, 'maximum': 1, 'one': 1, 'average': 1, 'equal': 1, 'raw': 1}
statistical	{'statistic': 763, 'test': 115, 'distribution': 97, 'mean': 33, 'median': 28, 'analysis': 22, 'method': 22, 'function': 20, 'plot': 19, 'set': 18, 'type': 18, 'probability': 17, 'hypothesis': 16, 'observation': 14, 'random': 13, 'quantities': 11, 'order': 11, 'general': 11, 'data': 10, 'value': 10, 'observed': 9, 'sample': 9, 'continuous': 9, 'cumulative': 8, 'variate': 8, 'rank': 8, 'frequency': 7, 'error': 7, 'equal': 7, 'variable': 7, 'normal': 7, 'mode': 6, 'measure': 6, 'most': 6, 'difference': 6, 'true': 6, 'variance': 6, 'index': 6, 'range': 5, 'parameter': 5, 'descriptive': 5, 'first': 5, 'size': 5, 'discrete': 5, 'regression': 5, 'sum': 5, 'correlation': 5, 'likelihood': 4, 'second': 4, 'pp': 4, 'small': 4, 'square': 4, 'integral': 4, 'beta': 4, 'run': 4, 'expected': 3, 'out': 3, 'real': 3, 'different': 3, 'central': 3, 'density': 3, 'table': 3, 'average': 3, 'interval': 3, 'kenney': 3, 'line': 3, 'deviation': 3, 'linear': 3, 'bernoulli': 3, 'gamma': 3, 'estimate': 2, 'relative': 2, 'maximum': 2, 'event': 2, 'one': 2, 'example': 2, 'definition': 2, 'point': 2, 'skewness': 2, 'pearson': 2, 'independent': 2, 'chi-squared': 2, 'matrix': 2, 'raw': 2, 'use': 2, 'curve': 2, 'theorem': 2, 'degree': 2, 'quantity': 2, 'estimator': 2, 'cumulant': 2, 'distributed': 2, 'unit': 1, 'confidence': 1, 'class': 1, 'absolute': 1, 'above': 1, 'quartile': 1, 'coefficient': 1, 'least': 1, 'conditional': 1, 'covariance': 1, 'poisson': 1, 'bivariate': 1, 'distribution~continuous': 1}
estimate	{'parameter': 14, 'order': 11, 'quantity': 10, 'sample': 9, 'error': 6, 'likelihood': 5, 'confidence': 5, 'observation': 5, 'measure': 4, 'size': 4, 'theorem': 4, 'variance': 4, 'data': 3, 'function': 3, 'standard': 3, 'absolute': 3, 'quantities': 3, 'statistic': 3, 'difference': 3, 'normal': 3, 'poisson': 3, 'statistical': 2, 'definition': 2, 'test': 2, 'independent': 2, 'variable': 2, 'variate': 2, 'pp': 2, 'expectation': 2, 'distribution': 1, 'uniform': 1, 'probability': 1, 'maximum': 1, 'event': 1, 'different': 1, 'random': 1, 'population': 1, 'interval': 1, 'rank': 1}
distribution	{'normal': 223, 'function': 141, 'variate': 131, 'continuous': 125, 'statistic': 117, 'probability': 107, 'statistical': 97, 'discrete': 63, 'general': 59, 'mean': 58, 'uniform': 57, 'value': 55, 'square': 54, 'cumulative': 53, 'distribution~continuous': 50, 'sum': 42, 'binomial': 42, 'pp': 37, 'gamma': 37, 'random': 34, 'variable': 34, 'central': 32, 'one': 30, 'most': 29, 'chi-squared': 28, 'bivariate': 27, 'beta': 26, 'test': 25, 'type': 25, 'bernoulli': 25, 'density': 24, 'variance': 24, 'exponential': 24, 'standard': 23, 'class': 23, 'parameter': 22, 'moment': 21, 'frequency': 20, 'first': 20, 'poisson': 20, 'set': 19, 'multivariate': 19, 'series': 18, 'difference': 18, 'sample': 17, 'distributed': 17, 'interval': 16, 'ratio': 16, 'measure': 15, 'population': 15, 'independent': 15, 'out': 14, 'equal': 14, 'large': 14, 'observed': 13, 'common': 13, 'range': 13, 'case': 12, 'relative': 11, 'kenney': 11, 'second': 11, 'degree': 11, 'inverse': 11, 'point': 10, 'rank': 10, 'correlation': 10, 'unit': 9, 'different': 9, 'limit': 9, 'table': 9, 'deviation': 9, 'time': 9, 'data': 8, 'event': 8, 'expected': 8, 'definition': 8, 'wolfram': 8, 'language': 8, 'pearson': 8, 'matrix': 8, 'raw': 8, 'use': 8, 'median': 8, 'mode': 7, 'maximum': 7, 'coefficient': 7, 'small': 7, 'process': 7, 'confidence': 6, 'error': 6, 'excess': 6, 'above': 5, 'problem': 5, 'skewness': 5, 'line': 5, 'curve': 5, 'same': 5, 'theorem': 5, 'plot': 5, 'kurtosis': 5, 'observation': 5, 'constant': 5, 'likelihood': 4, 'absolute': 4, 'descriptive': 4, 'law': 4, 'following': 4, 'oeis': 4, 'equation': 4, 'linear': 4, 'analysis': 3, 'digit': 3, 'real': 3, 'sequence': 3, 'size': 3, 'least': 3, 'unbiased': 3, 'estimator': 3, 'trial': 3, 'covariance': 3, 'index': 3, 'coin': 3, 'average': 2, 'fitting': 2, 'true': 2, 'expectation': 2, 'processes': 2, 'estimate': 1, 'example': 1, 'method': 1, 'characteristic': 1, 'step': 1, 'order': 1, 'quantity': 1, 'cumulant': 1, 'markov': 1, 'integral': 1}
observed	{'variable': 16, 'distribution': 13, 'test': 10, 'statistic': 10, 'statistical': 9, 'table': 9, 'frequency': 8, 'sample': 7, 'mean': 7, 'variance': 6, 'sum': 5, 'common': 4, 'equal': 4, 'relative': 3, 'value': 3, 'limit': 3, 'error': 3, 'order': 3, 'matrix': 3, 'same': 3, 'fitting': 3, 'quantity': 3, 'hypothesis': 3, 'analysis': 2, 'range': 2, 'parameter': 2, 'probability': 2, 'expected': 2, 'one': 2, 'out': 2, 'random': 2, 'type': 2, 'trial': 2, 'standard': 1, 'class': 1, 'set': 1, 'real': 1, 'case': 1, 'continuous': 1, 'variate': 1, 'curve': 1, 'normal': 1, 'bernoulli': 1}
relative	{'absolute': 15, 'distribution': 11, 'frequency': 11, 'cumulative': 11, 'out': 10, 'error': 7, 'statistic': 7, 'deviation': 6, 'intensity': 6, 'analysis': 5, 'time': 5, 'process': 5, 'value': 4, 'one': 4, 'variable': 4, 'continuous': 4, 'observed': 3, 'function': 3, 'statistics': 3, 'point': 3, 'mean': 3, 'variance': 3, 'small': 3, 'statistical': 2, 'likelihood': 2, 'probability': 2, 'descriptive': 2, 'set': 2, 'interval': 2, 'sample': 2, 'raw': 2, 'plot': 2, 'quantity': 2, 'common': 1, 'data': 1, 'standard': 1, 'class': 1, 'event': 1, 'example': 1, 'conditional': 1, 'independent': 1, 'discrete': 1, 'curve': 1, 'true': 1, 'moment': 1}
common	{'most': 24, 'distribution': 13, 'type': 9, 'mean': 7, 'series': 6, 'process': 6, 'example': 5, 'least': 5, 'time': 5, 'observed': 4, 'point': 4, 'data': 3, 'probability': 3, 'table': 3, 'population': 3, 'order': 3, 'discrete': 3, 'observation': 3, 'regression': 3, 'sum': 3, 'correlation': 3, 'likelihood': 2, 'parameter': 2, 'event': 2, 'interval': 2, 'language': 2, 'sample': 2, 'independent': 2, 'variate': 2, 'curve': 2, 'degree': 2, 'large': 2, 'variance': 2, 'binomial': 2, 'relative': 1, 'class': 1, 'value': 1, 'measure': 1, 'set': 1, 'one': 1, 'random': 1, 'characteristic': 1, 'test': 1, 'continuous': 1, 'line': 1, 'linear': 1}
uniform	{'distribution': 57, 'random': 31, 'function': 27, 'point': 20, 'continuous': 17, 'sequence': 15, 'use': 15, 'sum': 15, 'variate': 14, 'distributed': 13, 'interval': 11, 'probability': 10, 'discrete': 9, 'difference': 9, 'set': 8, 'normal': 8, 'ratio': 7, 'mean': 7, 'cumulative': 6, 'expected': 6, 'step': 6, 'pp': 6, 'range': 4, 'out': 4, 'variable': 4, 'first': 3, 'above': 3, 'population': 3, 'equal': 3, 'line': 3, 'linear': 3, 'correlation': 3, 'parameter': 2, 'error': 2, 'oeis': 2, 'statistic': 2, 'plot': 2, 'constant': 2, 'estimate': 1, 'one': 1, 'density': 1, 'characteristic': 1, 'independent': 1, 'deviation': 1, 'general': 1, 'moment': 1, 'exponential': 1, 'distribution~continuous': 1}
range	{'distribution': 13, 'probability': 11, 'quartile': 9, 'variate': 9, 'continuous': 8, 'order': 8, 'value': 6, 'statistical': 5, 'random': 5, 'interval': 5, 'statistic': 5, 'general': 5, 'uniform': 4, 'data': 4, 'frequency': 3, 'set': 3, 'first': 3, 'one': 3, 'table': 3, 'point': 3, 'variable': 3, 'deviation': 3, 'quantity': 3, 'time': 3, 'bivariate': 3, 'observed': 2, 'class': 2, 'descriptive': 2, 'sequence': 2, 'skewness': 2, 'wolfram': 2, 'pearson': 2, 'least': 2, 'normal': 2, 'sum': 2, 'function': 1, 'standard': 1, 'maximum': 1, 'cumulative': 1, 'density': 1, 'size': 1, 'kenney': 1, 'test': 1, 'matrix': 1, 'difference': 1, 'pp': 1, 'rank': 1, 'integral': 1, 'run': 1}
data	{'set': 59, 'point': 37, 'plot': 30, 'class': 16, 'mean': 16, 'order': 15, 'raw': 14, 'time': 14, 'statistic': 13, 'sum': 12, 'statistical': 10, 'frequency': 10, 'value': 10, 'fitting': 10, 'method': 9, 'pp': 9, 'observation': 9, 'analysis': 8, 'distribution': 8, 'mode': 8, 'example': 8, 'absolute': 7, 'measure': 7, 'curve': 7, 'cumulative': 6, 'sample': 6, 'deviation': 6, 'probability': 5, 'first': 5, 'one': 5, 'random': 5, 'table': 5, 'coefficient': 5, 'size': 5, 'variate': 5, 'correlation': 5, 'space': 5, 'range': 4, 'real': 4, 'above': 4, 'rank': 4, 'square': 4, 'estimate': 3, 'common': 3, 'out': 3, 'sequence': 3, 'interval': 3, 'quartile': 3, 'type': 3, 'function': 2, 'descriptive': 2, 'statistics': 2, 'law': 2, 'series': 2, 'population': 2, 'pearson': 2, 'independent': 2, 'discrete': 2, 'line': 2, 'same': 2, 'regression': 2, 'small': 2, 'process': 2, 'time-series': 2, 'relative': 1, 'standard': 1, 'different': 1, 'equal': 1, 'ratio': 1, 'test': 1, 'case': 1, 'difference': 1, 'median': 1, 'moment': 1, 'run': 1}
likelihood	{'function': 23, 'probability': 18, 'maximum': 10, 'value': 7, 'method': 7, 'estimator': 7, 'event': 6, 'ratio': 6, 'estimate': 5, 'statistical': 4, 'distribution': 4, 'one': 4, 'test': 4, 'statistic': 4, 'hypothesis': 4, 'standard': 3, 'set': 3, 'type': 3, 'relative': 2, 'common': 2, 'parameter': 2, 'measure': 2, 'out': 2, 'above': 2, 'density': 2, 'independent': 2, 'mode': 1, 'limit': 1, 'error': 1, 'quantity': 1}
