bayesian	('bayesian',)
analysis	('analysis',)
analysis~bayesian	('bayesian~analysis', 'analysis~bayesian')
statistical	('statistical',)
analysis~statistical	('analysis~statistical', 'statistical~analysis')
analysis~bayesian~statistical	('bayesian~analysis~statistical', 'analysis~statistical~bayesian', 'bayesian~statistical~analysis')
procedure	('procedure',)
procedure~statistical	('statistical~procedure',)
analysis~procedure~statistical	('analysis~statistical~procedure',)
analysis~bayesian~procedure~statistical	('bayesian~analysis~statistical~procedure',)
endeavors	('endeavors',)
endeavors~procedure	('procedure~endeavors',)
endeavors~procedure~statistical	('statistical~procedure~endeavors',)
analysis~endeavors~procedure~statistical	('analysis~statistical~procedure~endeavors',)
estimate	('estimate',)
endeavors~estimate	('endeavors~estimate',)
endeavors~estimate~procedure	('procedure~endeavors~estimate',)
endeavors~estimate~procedure~statistical	('statistical~procedure~endeavors~estimate',)
parameters	('parameters',)
estimate~parameters	('estimate~parameters',)
endeavors~estimate~parameters	('endeavors~estimate~parameters',)
endeavors~estimate~parameters~procedure	('procedure~endeavors~estimate~parameters',)
underlying	('underlying',)
parameters~underlying	('parameters~underlying',)
estimate~parameters~underlying	('estimate~parameters~underlying',)
endeavors~estimate~parameters~underlying	('endeavors~estimate~parameters~underlying',)
distribution	('distribution',)
distribution~underlying	('underlying~distribution', 'distribution~underlying')
distribution~parameters~underlying	('parameters~underlying~distribution',)
distribution~estimate~parameters~underlying	('estimate~parameters~underlying~distribution',)
based	('based',)
based~distribution	('distribution~based',)
based~distribution~underlying	('underlying~distribution~based',)
based~distribution~parameters~underlying	('parameters~underlying~distribution~based',)
observed	('observed',)
based~observed	('based~observed',)
based~distribution~observed	('distribution~based~observed',)
based~distribution~observed~underlying	('underlying~distribution~based~observed',)
begin	('begin',)
begin~distribution	('distribution~begin',)
begin~distribution~observed	('observed~distribution~begin',)
based~begin~distribution~observed	('based~observed~distribution~begin',)
prior	('prior',)
anything	('anything',)
including	('including',)
analysis~including	('analysis~including',)
analysis~bayesian~including	('bayesian~analysis~including',)
assessment	('assessment',)
assessment~statistical	('statistical~assessment',)
analysis~assessment~statistical	('analysis~statistical~assessment',)
analysis~assessment~bayesian~statistical	('bayesian~analysis~statistical~assessment',)
relative	('relative',)
procedure~relative	('procedure~relative',)
procedure~relative~statistical	('statistical~procedure~relative',)
analysis~procedure~relative~statistical	('analysis~statistical~procedure~relative',)
likelihoods	('likelihoods',)
endeavors~likelihoods	('endeavors~likelihoods',)
endeavors~likelihoods~procedure	('procedure~endeavors~likelihoods',)
endeavors~likelihoods~procedure~statistical	('statistical~procedure~endeavors~likelihoods',)
results	('results',)
parameters~results	('parameters~results',)
estimate~parameters~results	('estimate~parameters~results',)
endeavors~estimate~parameters~results	('endeavors~estimate~parameters~results',)
non-bayesian	('non-bayesian',)
non-bayesian~underlying	('underlying~non-bayesian',)
non-bayesian~parameters~underlying	('parameters~underlying~non-bayesian',)
estimate~non-bayesian~parameters~underlying	('estimate~parameters~underlying~non-bayesian',)
observations	('observations',)
practice	('practice',)
common	('common',)
common~observed	('observed~common',)
based~common~observed	('based~observed~common',)
based~common~distribution~observed	('distribution~based~observed~common',)
uniform	('uniform',)
appropriate	('appropriate',)
range	('range',)
bayesian~range	('bayesian~range',)
values	('values',)
analysis~values	('analysis~values',)
analysis~bayesian~values	('bayesian~analysis~values',)
collect	('collect',)
data	('data',)
bayesian~data	('bayesian~data',)
obtain	('obtain',)
analysis~obtain	('analysis~obtain',)
analysis~bayesian~obtain	('bayesian~analysis~obtain',)
observed~statistical	('statistical~observed', 'observed~statistical')
analysis~observed~statistical	('analysis~statistical~observed',)
analysis~bayesian~observed~statistical	('bayesian~analysis~statistical~observed',)
calculate	('calculate',)
calculate~endeavors	('endeavors~calculate',)
calculate~endeavors~procedure	('procedure~endeavors~calculate',)
calculate~endeavors~procedure~statistical	('statistical~procedure~endeavors~calculate',)
likelihood	('likelihood',)
