bayesian	{'0': 7, '94': 1, '234': 1, '459': 1}
analysis	{'0': 4, '67': 1, '68': 1, '69': 1, '70': 1, '71': 1, '72': 1, '73': 1, '74': 1, '75': 1, '76': 1, '77': 1, '78': 1, '79': 1, '80': 1, '81': 1, '82': 1, '83': 1, '94': 1, '164': 6, '165': 1, '166': 1, '168': 1, '188': 1, '194': 1, '196': 1, '201': 1, '202': 1, '209': 1, '211': 1, '212': 1, '213': 1, '214': 1, '220': 1, '221': 1, '224': 1, '227': 1, '231': 1, '234': 1, '243': 1, '247': 1, '248': 1, '249': 1, '253': 1, '254': 1, '257': 1, '274': 1, '338': 1, '387': 1, '389': 1, '403': 1, '424': 1, '425': 1, '426': 1, '427': 1, '428': 2, '429': 1, '430': 1, '431': 1, '432': 1, '433': 1, '434': 1, '435': 1, '436': 5, '437': 1, '438': 1, '439': 1, '455': 1, '459': 1, '507': 1, '533': 1}
bayesian~analysis	{'0': 1}
statistical	{'0': 1, '8': 1, '17': 2, '19': 1, '31': 2, '32': 1, '33': 5, '38': 1, '39': 2, '41': 1, '46': 1, '53': 1, '55': 1, '56': 1, '57': 3, '58': 1, '59': 3, '60': 2, '62': 2, '66': 2, '72': 1, '91': 1, '92': 1, '101': 1, '103': 1, '120': 1, '122': 2, '128': 1, '129': 1, '134': 1, '135': 1, '137': 1, '143': 1, '144': 2, '150': 1, '157': 1, '160': 1, '163': 1, '173': 1, '174': 1, '176': 2, '177': 3, '179': 2, '180': 1, '199': 2, '234': 2, '250': 1, '255': 4, '279': 3, '287': 1, '302': 1, '313': 3, '314': 5, '315': 1, '316': 2, '320': 1, '345': 1, '351': 1, '352': 1, '353': 1, '354': 1, '355': 1, '356': 2, '357': 2, '358': 2, '359': 2, '360': 1, '361': 2, '362': 2, '363': 2, '364': 2, '365': 2, '366': 1, '367': 1, '368': 3, '369': 1, '370': 1, '371': 1, '372': 1, '373': 1, '374': 1, '375': 3, '376': 1, '377': 1, '378': 1, '379': 1, '380': 1, '381': 1, '382': 1, '383': 1, '384': 1, '385': 1, '386': 1, '387': 1, '388': 1, '389': 2, '390': 1, '391': 2, '392': 3, '393': 1, '394': 1, '395': 2, '396': 1, '397': 3, '398': 2, '399': 2, '400': 1, '401': 1, '402': 1, '403': 1, '404': 1, '405': 1, '406': 1, '407': 2, '408': 1, '409': 2, '410': 1, '411': 3, '412': 1, '413': 3, '414': 2, '415': 2, '416': 1, '417': 3, '418': 2, '419': 3, '420': 6, '421': 3, '422': 3, '423': 1, '452': 1, '455': 1, '459': 1, '463': 2, '465': 1, '467': 1, '477': 1, '482': 2, '501': 1, '502': 1, '523': 2, '539': 2, '542': 1, '561': 3, '566': 2, '567': 1, '569': 1, '580': 1}
analysis~statistical	{'0': 1}
bayesian~analysis~statistical	{'0': 1}
procedure	{'0': 2, '94': 1, '130': 2, '176': 2, '234': 1, '274': 1, '327': 4, '339': 2, '346': 1, '402': 2, '403': 1, '405': 1, '420': 1, '439': 1}
statistical~procedure	{'0': 1}
analysis~statistical~procedure	{'0': 1}
bayesian~analysis~statistical~procedure	{'0': 1}
endeavors	{'0': 1, '234': 1}
procedure~endeavors	{'0': 1}
statistical~procedure~endeavors	{'0': 1}
analysis~statistical~procedure~endeavors	{'0': 1}
estimate	{'0': 2, '45': 2, '59': 1, '76': 7, '77': 1, '85': 2, '94': 1, '104': 1, '158': 2, '160': 1, '173': 1, '176': 1, '178': 1, '234': 1, '280': 1, '323': 1, '327': 1, '330': 1, '339': 1, '355': 1, '398': 1, '455': 1, '478': 1}
endeavors~estimate	{'0': 1}
procedure~endeavors~estimate	{'0': 1}
statistical~procedure~endeavors~estimate	{'0': 1}
parameters	{'0': 2}
estimate~parameters	{'0': 2}
endeavors~estimate~parameters	{'0': 2}
procedure~endeavors~estimate~parameters	{'0': 2}
underlying	{'0': 1, '104': 1, '153': 2, '156': 1, '160': 1, '192': 1, '234': 1, '279': 1, '281': 1, '409': 1, '450': 1, '452': 2, '455': 1}
parameters~underlying	{'0': 1}
estimate~parameters~underlying	{'0': 1}
endeavors~estimate~parameters~underlying	{'0': 1}
distribution	{'0': 14, '1': 2, '6': 8, '7': 3, '8': 3, '12': 2, '14': 1, '17': 1, '18': 2, '23': 1, '24': 2, '25': 3, '27': 1, '35': 1, '37': 1, '39': 2, '41': 1, '43': 2, '45': 3, '51': 2, '52': 2, '53': 1, '59': 3, '60': 2, '62': 2, '65': 3, '66': 1, '70': 4, '73': 1, '77': 1, '90': 1, '91': 2, '94': 5, '103': 1, '104': 2, '106': 1, '111': 2, '112': 1, '117': 2, '120': 1, '122': 1, '125': 1, '128': 1, '129': 1, '131': 8, '133': 1, '135': 29, '137': 2, '138': 1, '143': 2, '144': 1, '145': 4, '150': 3, '152': 1, '153': 8, '154': 2, '155': 24, '156': 7, '157': 4, '158': 2, '160': 10, '162': 2, '163': 11, '166': 2, '167': 3, '168': 3, '169': 12, '170': 7, '172': 8, '173': 2, '177': 2, '179': 1, '183': 1, '186': 1, '187': 1, '188': 1, '192': 3, '199': 2, '207': 1, '213': 1, '219': 2, '223': 4, '230': 1, '234': 11, '236': 16, '237': 3, '242': 6, '245': 3, '254': 1, '255': 1, '261': 7, '263': 2, '266': 3, '267': 1, '271': 2, '274': 2, '278': 1, '279': 5, '280': 6, '281': 11, '282': 1, '290': 4, '291': 2, '294': 3, '296': 4, '297': 1, '299': 2, '304': 6, '305': 1, '321': 1, '322': 5, '327': 1, '347': 2, '351': 3, '353': 3, '354': 4, '355': 1, '370': 1, '373': 3, '374': 2, '381': 2, '388': 1, '389': 1, '393': 5, '394': 2, '396': 1, '399': 5, '401': 1, '408': 1, '409': 1, '426': 1, '440': 1, '452': 1, '453': 1, '459': 11, '460': 3, '461': 3, '462': 4, '463': 17, '464': 13, '465': 20, '466': 7, '467': 31, '468': 3, '469': 2, '470': 2, '471': 1, '472': 12, '473': 3, '474': 4, '475': 12, '476': 23, '477': 6, '478': 3, '479': 4, '480': 4, '481': 10, '482': 30, '483': 3, '484': 3, '485': 2, '486': 3, '487': 3, '488': 3, '489': 8, '490': 21, '491': 6, '492': 7, '493': 8, '494': 7, '495': 8, '496': 15, '497': 11, '498': 7, '499': 3, '500': 3, '501': 5, '502': 8, '503': 4, '504': 4, '505': 2, '506': 7, '507': 58, '508': 5, '509': 8, '510': 12, '511': 10, '512': 4, '513': 6, '514': 6, '515': 1, '516': 3, '517': 4, '518': 5, '519': 4, '520': 8, '521': 6, '522': 8, '523': 11, '524': 2, '525': 8, '526': 6, '527': 16, '528': 8, '529': 8, '530': 8, '531': 6, '532': 3, '533': 9, '534': 1, '535': 19, '536': 9, '537': 23, '538': 1, '539': 15, '540': 11, '541': 3, '542': 7, '543': 14, '544': 4, '545': 4, '546': 3, '547': 9, '548': 4, '549': 5, '550': 8, '551': 21, '552': 4, '553': 3, '554': 8, '555': 3, '556': 17, '557': 3, '558': 6, '559': 9, '560': 2, '561': 1, '562': 14, '563': 1, '564': 5, '565': 4, '566': 11, '567': 2, '568': 3, '569': 5, '570': 4, '571': 3, '573': 1, '577': 2, '578': 3, '579': 2, '580': 2}
underlying~distribution	{'0': 1}
parameters~underlying~distribution	{'0': 1}
estimate~parameters~underlying~distribution	{'0': 1}
based	{'0': 2, '46': 1, '76': 2, '85': 1, '92': 1, '93': 1, '100': 1, '101': 1, '158': 1, '164': 1, '176': 1, '177': 1, '192': 1, '234': 1, '255': 1, '281': 1, '288': 1, '327': 1, '330': 1, '335': 1, '360': 1, '397': 1, '452': 1, '520': 1, '535': 1}
distribution~based	{'0': 1}
underlying~distribution~based	{'0': 1}
parameters~underlying~distribution~based	{'0': 1}
